analysis-no-repens.txt 
  Dbar: 221.5821
  Dhat: 128.3501
    pD: 93.23203
   DIC: 314.8142



 analysis-no-repens.txt results...Inference for Bugs model at "analysis-no-repens.txt", fit using jags,
                  tau.fl.per.head     1.198    4.943*
                    tau.seed.mass     1.742    7.390*



Posterior comparisons of regression coefficients...
    repens - non.repens

Environmental coefficients...
beta.fecundity.elev: -0.002 (-0.322,0.313)
beta.fecundity.long: 0 (-0.392,0.389)
beta.fecundity.map: 0.001 (-0.339,0.354)
beta.fl.per.head.elev: 0.001 (-0.385,0.392)
beta.fl.per.head.long: 0.001 (-0.448,0.49)
beta.fl.per.head.map: -0.001 (-0.423,0.44)
beta.seed.mass.elev: 0.002 (-0.317,0.326)
beta.seed.mass.long: 0.001 (-0.379,0.402)
beta.seed.mass.map: 0 (-0.364,0.351)
 
Infestation coefficients...
beta.infest.elev: 0 (-0.654,0.657)
beta.infest.fecundity: -0.003 (-1.183,1.2)
beta.infest.fl.per.head: 0.002 (-1.071,1.067)
beta.infest.long: -0.002 (-0.696,0.69)
beta.infest.map: 0.002 (-0.61,0.646)
beta.infest.seed.mass: 0.001 (-1.118,1.167)
 
Pink coefficients...
beta.pink.elev[1]: 0.024 (-6.292,6.203)
beta.pink.elev[2]: -0.017 (-6.229,6.25)
beta.pink.elev[3]: -0.019 (-5.6,5.675)
beta.pink.elev[4]: -0.033 (-6.681,6.927)
beta.pink.fecundity[1]: -0.029 (-5.366,5.344)
beta.pink.fecundity[2]: 0.011 (-5.971,5.767)
beta.pink.fecundity[3]: -0.002 (-5.037,5.178)
beta.pink.fecundity[4]: 0.015 (-7.351,6.948)
beta.pink.fl.per.head[1]: -0.003 (-6.588,6.336)
beta.pink.fl.per.head[2]: 0.015 (-5.376,5.505)
beta.pink.fl.per.head[3]: 0.032 (-5.231,5.374)
beta.pink.fl.per.head[4]: -0.019 (-7.535,7.371)
beta.pink.infest[1]: -0.016 (-5.415,5.358)
beta.pink.infest[2]: -0.003 (-5.516,5.535)
beta.pink.infest[3]: 0.011 (-4.618,4.63)
beta.pink.infest[4]: -0.015 (-6.676,6.799)
beta.pink.long[1]: -0.002 (-6.474,6.271)
beta.pink.long[2]: 0 (-6.585,6.471)
beta.pink.long[3]: -0.003 (-4.818,4.407)
beta.pink.long[4]: -0.006 (-5.573,5.58)
beta.pink.map[1]: -0.004 (-4.883,4.714)
beta.pink.map[2]: 0.016 (-4.288,4.309)
beta.pink.map[3]: 0.016 (-3.433,3.197)
beta.pink.map[4]: 0.013 (-6.385,6.376)
beta.pink.seed.mass[1]: 0.031 (-5.646,5.954)
beta.pink.seed.mass[2]: 0.037 (-7.07,6.531)
beta.pink.seed.mass[3]: -0.002 (-7.543,7.72)
beta.pink.seed.mass[4]: -0.031 (-8.322,8.472)
 
Poly coefficients...
beta.poly.elev[1]: 0.011 (-3.743,3.787)
beta.poly.elev[2]: 0.009 (-3.137,2.966)
beta.poly.fecundity[1]: 0.009 (-4.57,4.619)
beta.poly.fecundity[2]: -0.002 (-3.646,3.819)
beta.poly.fl.per.head[1]: -0.008 (-4.907,4.65)
beta.poly.fl.per.head[2]: -0.005 (-4.234,4.192)
beta.poly.infest[1]: 0.006 (-4.23,4.204)
beta.poly.infest[2]: -0.002 (-3.604,3.567)
beta.poly.long[1]: -0.008 (-3.326,3.264)
beta.poly.long[2]: -0.014 (-3.29,3.112)
beta.poly.map[1]: 0.006 (-3.607,3.691)
beta.poly.map[2]: -0.007 (-2.597,2.568)
beta.poly.seed.mass[1]: 0.009 (-4.725,4.593)
beta.poly.seed.mass[2]: 0.019 (-6.274,6.332)
 
