analysis-full.txt 
  Dbar: 207.5032
  Dhat: 77.90697
    pD: 129.5962
   DIC: 337.0994



 analysis-full.txt results...Inference for Bugs model at "analysis-full.txt", fit using jags,
Posterior comparisons of regression coefficients...
    repens - non.repens

Environmental coefficients...
beta.fecundity.elev: -0.005 (-1.082,1.039)
beta.fecundity.long: 0.413 (-0.243,1.078)
beta.fecundity.map: 0.095 (-0.675,0.88)
beta.fl.per.head.elev: 0.612 (-0.58,1.875)
beta.fl.per.head.long: 0.346 (-0.42,1.117)
beta.fl.per.head.map: 0.151 (-0.819,1.05)
beta.seed.mass.elev: -0.518 (-1.613,0.542)
beta.seed.mass.long: 0.152 (-0.535,0.818)
beta.seed.mass.map: -0.364 (-1.195,0.401)
 
Infestation coefficients...
beta.infest.elev: -0.894 (-2.202,0.5)
beta.infest.fecundity: 1.175 (-1.556,3.853)
beta.infest.fl.per.head: 1.145 (-1.784,3.906)
beta.infest.long: 0.203 (-1.858,2.384)
beta.infest.map: -0.531 (-1.689,0.615)
beta.infest.seed.mass: -0.809 (-4.597,3.224)
 
Pink coefficients...
beta.pink.elev[1]: 2.116 (-5.92,9.57)
beta.pink.elev[2]: 1.233 (-6.287,8.841)
beta.pink.elev[3]: -2.282 (-9.845,5.112)
beta.pink.elev[4]: 1.004 (-6.93,9.25)
beta.pink.fecundity[1]: -3.096 (-10.908,4.632)
beta.pink.fecundity[2]: 3.296 (-4.59,11.146)
beta.pink.fecundity[3]: -1.33 (-8.991,6.577)
beta.pink.fecundity[4]: 3.932 (-4.567,12.118)
beta.pink.fl.per.head[1]: 3.08 (-4.504,10.761)
beta.pink.fl.per.head[2]: -2.486 (-9.813,4.724)
beta.pink.fl.per.head[3]: 1.871 (-5.597,9.796)
beta.pink.fl.per.head[4]: -0.497 (-8.729,7.738)
beta.pink.infest[1]: 1.834 (-5.338,9.173)
beta.pink.infest[2]: 2.476 (-4.955,10.073)
beta.pink.infest[3]: 2.578 (-5.022,9.815)
beta.pink.infest[4]: -0.402 (-8.295,7.458)
beta.pink.long[1]: -3.947 (-12.239,3.874)
beta.pink.long[2]: 0.39 (-7.053,8.072)
beta.pink.long[3]: 1.74 (-5.778,9.165)
beta.pink.long[4]: -0.299 (-7.639,7.399)
beta.pink.map[1]: -0.439 (-7.141,6.669)
beta.pink.map[2]: 2.003 (-5.09,9.454)
beta.pink.map[3]: 3.872 (-2.846,10.923)
beta.pink.map[4]: -2.011 (-9.404,5.489)
beta.pink.seed.mass[1]: -3.714 (-12.295,4.327)
beta.pink.seed.mass[2]: 2.138 (-6.605,11.03)
beta.pink.seed.mass[3]: -0.968 (-9.957,8.154)
beta.pink.seed.mass[4]: 1.875 (-7.183,11.589)
 
Poly coefficients...
beta.poly.elev[1]: -0.209 (-7.003,6.795)
beta.poly.elev[2]: 4.178 (-1.315,9.747)
beta.poly.fecundity[1]: -3.416 (-10.902,4.194)
beta.poly.fecundity[2]: -0.201 (-6.293,6.197)
beta.poly.fl.per.head[1]: 4.226 (-2.677,11.563)
beta.poly.fl.per.head[2]: -6.788 (-13.681,-0.15)*
beta.poly.infest[1]: 1.439 (-5.177,8.136)
beta.poly.infest[2]: 4.51 (-1.391,10.878)
beta.poly.long[1]: -0.623 (-7.577,6.473)
beta.poly.long[2]: -0.234 (-6.412,6.08)
beta.poly.map[1]: 0.546 (-5.774,7.072)
beta.poly.map[2]: 2.783 (-1.909,7.57)
beta.poly.seed.mass[1]: -3.044 (-10.635,4.576)
beta.poly.seed.mass[2]: 6.007 (-2.37,14.856)
 
