analysis-zeros.txt 
  Dbar: 240.8228
  Dhat: 187.9905
    pD: 52.83233
   DIC: 293.6552



 analysis-zeros.txt results...Inference for Bugs model at "analysis-zeros.txt", fit using jags,
beta.pink.fecundity[1]: 0 (0,0)
beta.pink.fecundity[2]: 0 (0,0)
beta.pink.fecundity[3]: 0 (0,0)
beta.pink.fecundity[4]: 0 (0,0)
beta.pink.fl.per.head[1]: 0 (0,0)
beta.pink.fl.per.head[2]: 0 (0,0)
beta.pink.fl.per.head[3]: 0 (0,0)
beta.pink.fl.per.head[4]: 0 (0,0)
beta.pink.infest[1]: 0.021 (-4.099,4.069)
beta.pink.infest[2]: -0.011 (-3.806,3.788)
beta.pink.infest[3]: 0.02 (-3.725,3.724)
beta.pink.infest[4]: 0.021 (-4.941,4.92)
beta.pink.long[1]: -0.012 (-4.21,4.414)
beta.pink.long[2]: 0.005 (-4.015,4.2)
beta.pink.long[3]: -0.019 (-3.612,3.551)
beta.pink.long[4]: -0.006 (-4.102,4.218)
beta.pink.map[1]: 0 (0,0)
beta.pink.map[2]: 0 (0,0)
beta.pink.map[3]: 0 (0,0)
beta.pink.map[4]: 0 (0,0)
beta.pink.seed.mass[1]: 0 (0,0)
beta.pink.seed.mass[2]: 0 (0,0)
beta.pink.seed.mass[3]: 0 (0,0)
beta.pink.seed.mass[4]: 0 (0,0)
 
Poly coefficients...
beta.poly.elev[1]: 0 (0,0)
beta.poly.elev[2]: 0 (0,0)
beta.poly.fecundity[1]: 0 (0,0)
beta.poly.fecundity[2]: 0 (0,0)
beta.poly.fl.per.head[1]: 0 (0,0)
beta.poly.fl.per.head[2]: 0 (0,0)
beta.poly.infest[1]: -0.001 (-2.114,2.092)
beta.poly.infest[2]: -0.004 (-1.963,1.938)
beta.poly.long[1]: 0 (0,0)
beta.poly.long[2]: 0 (0,0)
beta.poly.map[1]: 0 (0,0)
beta.poly.map[2]: 0 (0,0)
beta.poly.seed.mass[1]: 0 (0,0)
beta.poly.seed.mass[2]: 0 (0,0)
 
